alert_id,detected_timestamp,resolved_timestamp,hostname,user_id,endpoint_product,alert_name,severity,status,description,file_path,process_name,sha256,assigned_to,device_criticality,severity_rank,resolution_duration_hours
EPA00001920,2026-08-09 11:06:47,2026-08-11 06:06:47,VDR-11768,EMP11768,Kaspersky,Lateral movement detected,Medium,Resolved,Endpoint protection detected suspicious activity on host.,C:\ProgramData\svc\agent.dll,Unknown,054e0398bbd02a8260a7d6d34e2f84e7ee67706f95b453bbf5a51cbc3d01886c,Unknown,Unknown,2,43.0
EPA00004656,2026-09-08 17:32:00,Unknown,VDR-11100,EMP11100,Quick Heal,MALWARE_DETECTED,High,In Progress,Multiple failed attempts to disable security agent.,Unknown,msedge.exe,20e2f44e68c92f4a824a1a67bb3b9316e6843372c31e029cd1f0b38bc565757a,soc.analyst2,Critical,3,62.99
EPA00001840,2026-09-08 00:00:00,2026-09-13 13:51:20,VDR-10029,EMP10029,McAfee,Unusual admin share access,Critical,In Progress,Malicious file blocked. User notified. Need validation.,E:\Backup\data.rar,explorer.exe,abbc24bffe28684c1d48bbe075610913ff0accfbc1efc9fd92ac55690c287a0b,unassigned,Unknown,4,133.86
EPA00004878,2026-08-07 01:17:22,2026-08-11 14:17:00,WS-10202,EMP10202,Windows Defender,MALWARE_DETECTED,Medium,Unassigned,Alert generated from heuristic engine. Possible false positive.,C:\ProgramData\svc\agent.dll,winword.exe,99be2fd35ebc37d1e43fafbbf706101154ca19ecff6c12acaae406a4109edd01,incident.team,Critical,2,108.99
EPA00003821,2026-09-09 09:26:10,Unknown,LPT-10538,EMP10538,Kaspersky,Ransomware Activity,Medium,In Progress,Multiple failed attempts to disable security agent.,E:\Backup\data.rar,winword.exe,Unknown,admin,Unknown,2,62.99
EPA00007195,2026-08-06 00:00:00,2026-08-08 00:00:00,WS-10665,EMP10665,SentinelOne,MALWARE_DETECTED,Low,In Progress,User reported machine slowdown after popup. AV alert generated.,C:\Users\Public\Downloads\invoice.exe,Unknown,Unknown,Unknown,High,1,48.0
EPA00006512,2026-08-05 00:31:08,2026-08-06 13:31:00,LPT-11158,EMP11158,Kaspersky,Phishing URL blocked,High,Closed,Alert triggered by abnormal network connection.,Unknown,Unknown,ee8d1a041b0beb7eb331f67002674c070afdeffae80adb3725d09ef9cdd0b20a,unassigned,Low,3,37.0
EPA00005098,2026-09-04 19:36:51,2026-09-08 09:36:51,WS-12391,EMP12391,SYMANTEC,Unusual admin share access,High,In Progress,Alert triggered by abnormal network connection.,D:\Projects\scripts\cleanup.ps1,python.exe,047b4f0227ac3ae3baf5c7df4fcd89dd157b4fd3fd17511e24f6a909cd0f9f5e,soc.analyst2,Low,3,86.0
EPA00003468,2026-09-05 17:53:14,2026-09-08 10:53:14,LPT-11428,EMP11428,Kaspersky,Phishing URL blocked,High,Closed,Alert triggered by abnormal network connection.,C:\Windows\Temp\update.tmp,cmd.exe,2a1395f7c9c9b41c671c1cc3ecf3ae94ce9a7c684af5d1a1fceee61a4d115fb4,unassigned,Critical,3,65.0
EPA00001596,2026-08-27 08:34:24,Unknown,VDR-10907,EMP10907,Kaspersky,Ransomware Activity,Low,Investigating,Suspicious script execution observed. Logs attached.,C:\ProgramData\svc\agent.dll,unknown,76b98d9ddf9ba7c38ae2f5264b5d8d29d11ecb38ed6784c806744d7d5629cd00,unassigned,Critical,1,62.99
EPA00006012,2026-09-02 00:00:00,Unknown,LPT-11786,EMP11786,SentinelOne,Browser hijack attempt,High,Open,Process attempted to access sensitive directory.,C:\Windows\Temp\update.tmp,powershell.exe,7954dfe8bc90723db112b92886a999583487d5571bb4f40850f94f0827c1085a,admin,High,3,62.99
EPA00003096,2026-08-14 19:52:19,Unknown,WS-11076,EMP11076,Carbon Black,suspicious_powershell,Medium,Open,Alert generated from heuristic engine. Possible false positive.,C:\ProgramData\svc\agent.dll,unknown,a69822d668776e6808089b2912ffa4eb9e956c1da0bca3a48f53d0e1f40253ba,soc.analyst1,Critical,2,62.99
EPA00004626,2026-08-26 18:32:09,2026-08-31 13:32:09,VDR-11117,EMP11117,Defender,Lateral movement detected,Low,Resolved,Suspicious script execution observed. Logs attached.,C:\ProgramData\svc\agent.dll,explorer.exe,58af04c95b02331e61f4dfc127aa254ad1d7a24813f0656f63212fac7d1d35ec,admin,High,1,115.0
EPA00000264,Unknown,Unknown,LPT-12783,EMP12783,Windows Defender,Unusual admin share access,Critical,In Progress,Endpoint protection detected suspicious activity on host.,Unknown,Unknown,7b78088d4f1a83fb2b31107c0c0af69226924f23ad7def626b355713d2a6f18e,incident.team,Medium,4,62.99
EPA00000519,2026-08-26 05:16:07,2026-08-31 00:16:07,LPT-11285,EMP11285,McAfee,Browser hijack attempt,Medium,Open,Suspicious script execution observed. Logs attached.,Unknown,unknown,Unknown,incident.team,High,2,115.0
EPA00004343,2026-08-27 12:14:00,2026-09-01 11:14:50,VDR-12243,EMP12243,McAfee,Trojan:Win32,High,Open,Endpoint agent blocked execution. Review required.,C:\Windows\System32\drivers\etc\hosts,explorer.exe,363de85262bf2d4e62eec352c476223697560cdd49a5a854db0793c7bece7bc9,incident.team,Medium,3,119.01
EPA00005322,2026-08-29 08:30:00,2026-08-29 00:00:00,LPT-11833,EMP11833,Windows Defender,Keylogger suspected,Low,False Positive,Process attempted to access sensitive directory.,C:\Users\user\AppData\Local\Temp\cache.bin,powershell.exe,b52b90bef8d819876dc67f32dd5cd24176627cbbb9faef766238655895df5ba6,unassigned,Critical,1,62.99
EPA00000497,2026-08-22 00:59:45,2026-08-24 00:00:00,VDR-11507,EMP11507,Carbon Black,Keylogger suspected,Medium,Closed,Multiple failed attempts to disable security agent.,Unknown,unknown,0f690cde2db3caf01a8962f146b0034f878cf621d323ef480cf0fa830c46368c,soc.analyst2,Low,2,47.0
EPA00007367,2026-08-28 17:56:03,2026-09-02 16:56:03,LPT-11656,EMP11656,CrowdStrike,Keylogger suspected,High,Unassigned,Endpoint agent blocked execution. Review required.,C:\Windows\Temp\update.tmp,msedge.exe,Unknown,admin,Low,3,119.0
EPA00002575,2026-08-27 18:21:00,Unknown,VDR-10735,EMP10735,Windows Defender,Credential dumping attempt,Low,Open,Threat detected after file download from external website.,E:\Backup\data.rar,python.exe,Unknown,incident.team,High,1,62.99
EPA00005272,2026-08-15 22:14:02,Unknown,WS-12511,EMP12511,Windows Defender,Browser hijack attempt,Low,In Progress,Alert generated from heuristic engine. Possible false positive.,D:\Projects\scripts\cleanup.ps1,cmd.exe,1908badb164f8fda5a1a9f0a09428a848c14250c775dc1bacee0285d368528b4,Unknown,Critical,1,62.99
EPA00006436,2026-08-14 03:33:28,Unknown,VDR-12693,EMP12693,Defender,Unusual admin share access,High,New,Threat detected after file download from external website.,C:\Windows\System32\drivers\etc\hosts,powershell.exe,Unknown,Unknown,Unknown,3,62.99
EPA00005488,2026-08-05 22:33:23,2026-08-10 03:33:23,VDR-10295,EMP10295,SentinelOne,Browser hijack attempt,High,False Positive,Endpoint protection detected suspicious activity on host.,C:\ProgramData\svc\agent.dll,cmd.exe,Unknown,unassigned,Low,3,101.0
EPA00005711,2026-09-08 22:26:48,2026-09-13 19:26:48,LPT-10360,EMP10360,Quick Heal,Unauthorized USB,Medium,New,Endpoint protection detected suspicious activity on host.,C:\Users\user\AppData\Local\Temp\cache.bin,unknown,2ee36e4cf4ff5b900a423fbb373d96115b48e7a3c08b20e9b4e82e247f90ad4b,soc.analyst1,Low,2,117.0
EPA00006384,2026-08-08 00:00:00,2026-08-12 20:30:00,WS-11672,EMP11672,CrowdStrike,Ransomware Activity,Medium,Open,Alert generated from heuristic engine. Possible false positive.,Unknown,msedge.exe,cb7603812d3a33170d27a046c5e07f5550a39584df20c2fcd5af149abef94c96,admin,Medium,2,116.5
EPA00004344,2026-08-16 19:54:15,2026-08-20 00:54:00,VDR-10740,EMP10740,Kaspersky,Unusual admin share access,Low,New,Process attempted to access sensitive directory.,C:\Users\user\Desktop\salary.xlsx,Unknown,ca87586b2d0b9a276eb728e80db6c4186e5de14c1c81dd9364667702d302c368,incident.team,High,1,77.0
EPA00000034,2026-08-29 06:02:09,2026-09-02 03:02:09,LPT-11310,EMP11310,CrowdStrike,USB device blocked,Medium,Resolved,Alert triggered by abnormal network connection.,Unknown,msedge.exe,0b3cf034347e885680d4fb990b7be3aa8e8ee381244646024f6ef189e5221049,soc.analyst2,Medium,2,93.0
EPA00000541,2026-08-12 04:24:00,2026-08-16 14:24:00,VDR-10796,EMP10796,McAfee,Keylogger suspected,Low,Resolved,Endpoint protection detected suspicious activity on host.,Unknown,excel.exe,3f8073b89751fceb20e7060e22e5fab0373296527f9bb64b7a17678ed10b4dc5,incident.team,Medium,1,106.0
EPA00005712,2026-09-06 21:57:24,2026-09-11 01:57:24,WS-10866,EMP10866,Defender,Lateral movement detected,Medium,In Progress,Process attempted to access sensitive directory.,C:\Users\user\Desktop\salary.xlsx,msedge.exe,9f47473f0be1935599fd7e3adbda2eb017fafac0dc7af7565027d45ca3a61199,admin,High,2,100.0
EPA00002125,2026-08-30 12:51:12,2026-09-03 12:51:00,LPT-12300,EMP12300,SentinelOne,Unauthorized USB,Medium,In Progress,Endpoint agent blocked execution. Review required.,C:\ProgramData\svc\agent.dll,chrome.exe,3f6c3c50a1f72c6f19d339c910d8c5929c41c2dd850c52c4d0cec43de470372a,Unknown,Unknown,2,96.0
EPA00001406,Unknown,2026-09-14 17:38:00,VDR-11559,EMP11559,Windows Defender,Trojan:Win32,Critical,In Progress,User reported machine slowdown after popup. AV alert generated.,C:\Windows\Temp\update.tmp,winword.exe,Unknown,incident.team,Critical,4,62.99
EPA00000458,2026-08-29 10:56:29,2026-09-01 16:56:00,VDR-10917,EMP10917,CrowdStrike,Unauthorized USB,Low,New,Process attempted to access sensitive directory.,C:\Users\user\AppData\Local\Temp\cache.bin,cmd.exe,5a1ffbf81b809a7b472f9d53e44523cef210ad4e20e5835e51dba8e56d1bf93b,unassigned,Critical,1,77.99
EPA00006897,2026-08-25 20:56:55,2026-08-30 04:56:55,WS-10770,EMP10770,SYMANTEC,USB device blocked,High,Unassigned,Process attempted to access sensitive directory.,C:\Windows\System32\drivers\etc\hosts,cmd.exe,Unknown,unassigned,Unknown,3,104.0
EPA00002808,Unknown,2026-09-09 02:34:38,LPT-10058,EMP10058,SentinelOne,MALWARE_DETECTED,Low,Resolved,User reported machine slowdown after popup. AV alert generated.,C:\Users\Public\Downloads\invoice.exe,winword.exe,db1ab817edfa4a0a4290962999f02e8c4419e9dd618e3a29d636a704162b4e40,admin,Low,1,62.99
EPA00005629,2026-08-10 04:27:02,2026-08-08 00:00:00,LPT-10852,EMP10852,SYMANTEC,Lateral movement detected,High,Closed,Threat detected after file download from external website.,Unknown,cmd.exe,5c9a04c3b39f5664eaf53c743219449d25de318df77cbbc3111edcf135a4e345,Unknown,Critical,3,62.99
EPA00005974,2026-08-11 08:06:21,2026-08-11 09:06:21,VDR-10990,EMP10990,Windows Defender,Suspicious PowerShell Execution,Medium,Open,Malicious file blocked. User notified. Need validation.,C:\Users\user\Desktop\salary.xlsx,python.exe,51de423872495feb0ed3d08a49e0ba60c43035f400bab8d4931f6bd0980ef30d,Unknown,High,2,1.0
EPA00000764,2026-08-30 13:02:00,2026-09-04 06:02:45,LPT-11554,EMP11554,Windows Defender,Unauthorized USB,High,New,Alert triggered by abnormal network connection.,Unknown,chrome.exe,Unknown,soc.analyst2,Critical,3,113.01
EPA00003460,2026-08-22 13:02:05,2026-08-24 15:02:05,VDR-11921,EMP11921,SentinelOne,MALWARE_DETECTED,Low,Resolved,Endpoint agent blocked execution. Review required.,C:\Windows\System32\drivers\etc\hosts,msedge.exe,Unknown,Unknown,Unknown,1,50.0
EPA00001058,2026-08-22 13:02:00,2026-08-26 05:02:16,WS-12912,EMP12912,Kaspersky,Keylogger suspected,Low,Resolved,Threat detected after file download from external website.,C:\ProgramData\svc\agent.dll,powershell.exe,Unknown,Unknown,Medium,1,88.0
EPA00000829,2026-08-15 16:09:20,2026-08-16 00:00:00,LPT-11107,EMP11107,Kaspersky,Suspicious PowerShell Execution,Low,Investigating,Alert generated from heuristic engine. Possible false positive.,C:\Windows\System32\drivers\etc\hosts,Unknown,b9311893f7fa8aa540cba44b0f56d2974849031a4ab3d0597b4340a7b82390c5,incident.team,Critical,1,7.84
EPA00004715,Unknown,2026-08-10 15:36:09,Unknown,EMP10907,McAfee,Keylogger suspected,Low,Open,Suspicious script execution observed. Logs attached.,C:\Users\user\AppData\Local\Temp\cache.bin,chrome.exe,b941aa057fd6d8939414a59e2799a3518b8987e6594ccea984d3d39860e938b2,soc.analyst1,Unknown,1,62.99
EPA00000223,2026-08-01 07:21:22,2026-08-04 10:21:22,WS-11865,EMP11865,CrowdStrike,ransomware_behavior,Medium,Resolved,Multiple failed attempts to disable security agent.,C:\ProgramData\svc\agent.dll,cmd.exe,bacf5df0a17a926fc5b1f247156d85bb98966965b0fd581ddf5eef238b7f0ddd,Unknown,Unknown,2,75.0
EPA00002692,2026-09-01 07:39:47,2026-09-04 01:39:47,WS-11132,EMP11132,SentinelOne,Phishing URL blocked,High,Resolved,Threat detected after file download from external website.,D:\Projects\scripts\cleanup.ps1,python.exe,Unknown,Unknown,High,3,66.0
EPA00007411,2026-08-23 12:53:00,2026-08-26 00:53:22,WS-12327,EMP12327,McAfee,Lateral movement detected,Medium,New,Endpoint agent blocked execution. Review required.,Unknown,unknown,b0d0275084283aa4f02b6f5019022bd8131e3a0e751a291bea17ca8db091c3ec,admin,Low,2,60.01
EPA00003847,2026-08-14 00:59:38,2026-08-17 21:59:38,LPT-12662,EMP12662,SYMANTEC,Unauthorized USB,High,New,Process attempted to access sensitive directory.,C:\Windows\System32\drivers\etc\hosts,winword.exe,7ab3e656390a1830a7678451a91467c9912c9cd000bb2c6c54bc2e5bd527d398,unassigned,Low,3,93.0
EPA00002523,2026-08-10 19:20:35,2026-08-13 19:20:00,LPT-10094,EMP10094,Quick Heal,Keylogger suspected,Low,New,Alert triggered by abnormal network connection.,Unknown,winword.exe,345f95cc9101f875c3152f8ef53a088cc34e970db839d71d9d777e45152f78cb,soc.analyst1,Low,1,71.99
EPA00001747,2026-09-08 00:00:00,2026-09-12 11:11:00,VDR-11681,EMP11681,SentinelOne,Unauthorized USB,Low,False Positive,Malicious file blocked. User notified. Need validation.,C:\ProgramData\svc\agent.dll,explorer.exe,30d6770eb6d669694d31df93573384bd5659b3ca1899a65e8a0fcac8a1b043a1,soc.analyst1,High,1,107.18
EPA00002752,2026-09-09 07:13:00,2026-09-12 00:13:36,VDR-10940,EMP10940,Carbon Black,ransomware_behavior,Low,Investigating,Threat detected after file download from external website.,E:\Backup\data.rar,powershell.exe,e447287619f5c6e28cadfa9e8af056b716e174277c50955a59aa2d286614250d,incident.team,Medium,1,65.01
EPA00000462,2026-08-30 09:08:55,2026-09-03 03:08:00,VDR-12844,EMP12844,Kaspersky,Suspicious PowerShell Execution,Medium,Open,Alert generated from heuristic engine. Possible false positive.,Unknown,powershell.exe,Unknown,Unknown,Low,2,89.98
EPA00000319,2026-08-30 00:00:00,2026-09-02 18:05:05,VDR-10040,EMP10040,Windows Defender,Trojan:Win32,High,New,Malicious file blocked. User notified. Need validation.,C:\Windows\Temp\update.tmp,python.exe,Unknown,admin,Medium,3,90.08
EPA00001666,2026-08-28 14:09:19,2026-08-30 12:09:19,LPT-10646,EMP10646,Defender,Phishing URL blocked,Medium,Resolved,Process attempted to access sensitive directory.,C:\Users\Public\Downloads\invoice.exe,excel.exe,0b118306952a2e40e5ca7aa285b3544fe8153e246e5609df9b3bf4da82cd210f,incident.team,Critical,2,46.0
EPA00003904,2026-08-25 00:00:00,2026-08-29 16:19:49,LPT-10897,EMP10897,Defender,Unusual admin share access,High,Unassigned,Suspicious script execution observed. Logs attached.,E:\Backup\data.rar,chrome.exe,bb2a3f6ff9488a55034b08a47194c76471b0cc4a0737ad919a5deff1fd5a9176,Unknown,Low,3,112.33
EPA00005961,Unknown,2026-08-06 00:00:00,WS-12514,EMP12514,McAfee,ransomware_behavior,Low,Open,Malicious file blocked. User notified. Need validation.,Unknown,msedge.exe,Unknown,unassigned,Critical,1,62.99
EPA00001177,Unknown,Unknown,WS-11682,EMP11682,CrowdStrike,Browser hijack attempt,Low,New,Alert generated from heuristic engine. Possible false positive.,C:\Users\Public\Downloads\invoice.exe,Unknown,Unknown,soc.analyst1,Critical,1,62.99
EPA00002261,2026-08-02 05:37:59,Unknown,LPT-11683,EMP11683,Carbon Black,USB device blocked,Low,Open,Endpoint protection detected suspicious activity on host.,C:\Windows\System32\drivers\etc\hosts,chrome.exe,8ba739e87e8adb3740f36ebb5f6e9fa31ba310063c2286287015c2dd9137131e,Unknown,High,1,62.99
EPA00002364,2026-08-09 20:18:54,2026-08-11 21:18:00,LPT-12761,EMP12761,CrowdStrike,Credential dumping attempt,Medium,Open,Endpoint agent blocked execution. Review required.,Unknown,excel.exe,1afdd5a9fc7bc73533f5d706ccb853ff34c2380d0f965e86b96dd2ba998b2e30,incident.team,Unknown,2,48.98
EPA00007204,2026-09-02 23:04:57,2026-09-04 10:04:57,WS-12356,EMP12356,Defender,Credential dumping attempt,Medium,Open,Process attempted to access sensitive directory.,C:\Users\user\Desktop\salary.xlsx,unknown,9be4e05c20ee47224ae4a1e244dcec663bfbdde152870d658f17c64c85bc1177,admin,High,2,35.0
